Year,Total Operating Revenue ($),System Passenger Revenue ($),System Total Transport Related Revenue ($),System Passenger Revenue per ASM ($),System Revenue Per ASM (exc-transport) ($ per ASM),System Passenger Yield ($ per RPM),Ancillary Fees ($),International ASM,Internation ASM as % of total ASM,International Revenue as % of total Revenue,International Revenue ($) per ASM,International Passenger Yield ($ per RPM),International RPM,International RPM as % of total RPM,International Passenger Revenue ($),International Load Factor,Domestic ASM,Domestic ASM as % of total ASM,Domestic Revenue as % of total Revenue,Domestic Revenue ($) per ASM,Domestic Passenger Yield ($ per RPM),Domestic RPM,Domestic RPM as % of total RPM,Domestic Passenger Revenue ($),Domestic Load Factor (%),Total Available Seat Miles (ASM),Total Revenue Passenger Mile (RPM),Total Enplaned Passengers,Total Passenger Yield ($ per RPM),Total Passenger RPM per ASM ($ per ASM),Total Load Factor (%),Total Departed Seats,Total operating fleet numbers,Total Aircraft Block Hours,Total Aircraft Airborne Hours,Gallons Fuel per Block Hour,Average Stage Length Flown,Average Seat Capacity per Aircraft,Departure per Aircraft Day,Total Operating Expenses ($),Total Labour Operating Expenses ($),Total Labour Operating Expenses per ASM($),Total Fuel Expenses ($),Total Fuel Expense per ASM,Fuel Expense per Enplaned Passenger ($),Total Fuel in Gallons,Fuel price per Gallon ($),Transport Related Expenses ($),Other Outsourcing Expenses ($),Management and Other Expenses ($),Management and Other Expenses per ASM,Flight Equipment Maintenance Expense ($),Outsourced Flight Equipment Maintenance Expense ($),CASM excluding Transport ($ per ASM),CASM excluding Transport and Fuel ($ per ASM),CASM excluding Transport Fuel and labour ($ per ASM),ASM Prodcued per Employee Equivalent,ASM Prodcued per Dollar Employee Compensation,ASM Prodcued per Dollar Pilot Compensation,Total Flight Attendant Block Hours per Month,Percentage of maintenance expense outsourced,Handling Employees per Aircraft,All Employees Avg Wage ($),Non Cockpit Employees Avg Wage ($),Full Time Employees Equivalents,Full Time Non Cockpit Employees Equivalents,All Employees average benefits and pensions ($),Non-Cockpit Employees average benefits and pensions ($),Pilot and Co-Pilot equivalents,Average Pilot and Co-Pilot wages ($),Flight Attendant Employee Equivalents,Average Flight Attendant Employee Wage ($),Ground Staff Employee Equivalents,Average Ground Staff Employee Wage ($),Maintenance Staff Equivalents,Average Maintenance Staff Wage ($),Management and Others Equivalents,Average Management and Others Wage ($)
1995,94317932280,69469966680,10652882620,8556011817,0.09,0.13,128463990,2.10131E+11,25.2,23.62,0.08,0.11,1.51032E+11,26.94,16192126520,72.15,6.1461E+11,74.8,76.38,0.09,0.13,4.02776E+11,73.06,53224215100,65.91,8.29581E+11,5.57234E+11,470879993,0.13,0.09,67.48,892353319.8,3235.26,11599993,9850509,1150.82,839.17,165.7,4.66,88454529840,24308257440,3371681421,7354178570,0.01,15.62,13349557335,0.55,1388642180,5540623000,2931743650,0.41,6003896830,1364820800,0.09,0.08,0.04,1.9,29.66,100.91,57.65,22.73,46.23,47486.39,30635.77,379033,336337,10242.48,8530,42696,122484.03,76454,32246.67,149581,36474.43,37391,53069.76,75561,38799.78
1996,1.01937E+11,75285662420,10976519850,8980873079,0.1,0.13,128220430,2.14102E+11,25.24,22.77,0.08,0.11,1.56796E+11,26.55,16587614320,73.67,6.41732E+11,74.76,77.23,0.09,0.13,4.36647E+11,73.45,58576536010,68.77,8.62621E+11,5.98203E+11,498124409,0.13,0.09,70.01,893945040.4,3274.4,11964521,10131101,1152.82,869.1,165.81,4.59,95728278020,25166024850,3392161613,8912803940,0.01,17.89,13792968056,0.65,1660424410,5698288410,2981544100,0.4,6510598360,1697215880,0.09,0.08,0.05,1.97,29.48,95.7,54.88,26.07,46.5,49127.63,31343.58,376941,333896,11039.69,8217.01,43045,125634.09,76879,34402.16,152266,36834.5,34288,59397.3,73171,40747.47
1997,1.09568E+11,79470785380,13208680210,9175647159,0.1,0.13,132732090,2.22572E+11,25.81,23.13,0.08,0.11,1.64848E+11,27.05,17628797530,74.36,6.55849E+11,74.19,76.87,0.1,0.14,4.53023E+11,72.95,61841987850,69.77,8.84192E+11,6.22234E+11,512007033,0.13,0.09,70.95,911590844.9,3341.72,12434638,10525156,1154.82,886.49,166.11,4.59,1.00982E+11,26694219950,3453594311,9006781770,0.01,17.59,14359816705,0.63,2059794110,6210683880,3041193750,0.39,7483563890,1974668460,0.09,0.08,0.05,1.95,28.96,94.46,56.97,26.39,44.69,50336.63,32054.16,396476,350824,9964.36,7811.42,45652,128212.97,76607,37316.71,149331,39099.59,49976,49821.08,65920,46135.6
1998,1.13105E+11,80985234480,14426833130,9100972447,0.1,0.13,1284462930,2.29758E+11,26.52,22.08,0.08,0.1,1.66962E+11,27.16,16994691280,72.82,6.61495E+11,73.48,77.92,0.1,0.14,4.63618E+11,72.84,63990543200,70.5,8.98359E+11,6.35795E+11,525354636,0.13,0.09,71.12,911940695.8,3439.05,12752600,10801953,1157.78,908.78,165.83,4.48,1.03764E+11,28295684810,3567943962,7437894610,0.01,14.16,14764701094,0.5,2175456540,6865322520,3033739030,0.38,8194790930,2369117420,0.09,0.08,0.05,1.9,28.03,91.66,1.61,28.91,41.19,51275.49,32431.76,392583,345864,9746.79,7635.64,46719,127623.5,85897,34348.87,141645,40935.36,51989,49170.5,66325,43859.62
1999,1.18892E+11,84317499590,15401057110,8971640145,0.1,0.13,1391576770,2.35797E+11,26.21,21.75,0.07,0.1,1.75316E+11,27.39,17293061780,74.43,7.01176E+11,73.79,78.25,0.1,0.14,4.89655E+11,72.61,67020734510,70.07,9.45245E+11,6.70779E+11,542918051,0.13,0.09,71.21,930971011.9,3598.14,13467905,11382948,1138.54,930.73,164.27,4.42,1.10489E+11,30175481680,3614245576,7924446980,0.01,14.6,15333716521,0.52,2578058840,7287350070,3490723490,0.42,8671353830,2705408270,0.09,0.08,0.05,1.88,27.67,90.11,53.16,31.2,44.46,50814.07,32498.36,444895,390814,9545.77,7607.42,54081,122143.95,99197,33271.62,159981,40796.83,55778,48108.06,75808,46046.63
2000,1.30248E+11,93638549960,15258807500,9631453553,0.1,0.13,1491737200,2.46924E+11,26.96,22.42,0.08,0.11,1.87404E+11,28.19,19583006330,76.13,7.25929E+11,73.04,77.58,0.1,0.14,5.15703E+11,71.81,74039610310,71.58,9.80769E+11,7.08762E+11,565550662,0.13,0.1,72.81,964656969.1,3755.35,14148621,11906152,1146.02,934.92,164.61,4.35,1.23233E+11,33113613900,3829064075,12353076210,0.01,21.84,16214590980,0.76,3182751670,7604630630,4499965760,0.52,9429367440,2908414400,0.1,0.08,0.05,1.89,26.12,84.95,55.47,30.84,43.94,54243.18,35484.62,458101,403057,10045.59,8175.64,55044,132294.67,102753,31738.79,164998,41258.66,54902,54448.47,80398,55971.94
2001,1.15227E+11,80943175410,14780820770,8573543965,0.09,0.12,1444633820,2.38905E+11,27.02,22.97,0.07,0.1,1.73617E+11,27.95,17282340870,72.91,7.06867E+11,72.98,77.03,0.09,0.13,5.03471E+11,72.05,63625095650,69.57,9.53875E+11,7.25027E+11,529375955,0.12,0.09,70.47,926583356.1,3839.44,13823680,11672432,1096.89,955.22,163.03,4.13,1.25552E+11,35195080000,4169487718,11751711420,0.01,22.2,15163057991,0.78,3680404670,7604913600,4775964480,0.57,9665305510,2994516370,0.1,0.09,0.05,1.88,23.98,77.03,54.72,30.98,41.64,57286.23,36620.12,448714,394291,12582.21,10183.09,54423,141266.64,99598,35924.38,159879,41230.9,49324,62432.33,81184,58826.39
2002,1.07125E+11,73351854090,13488738960,8163663127,0.09,0.11,1732931660,2.19151E+11,25.47,23.34,0.07,0.1,1.67341E+11,27.06,16271296370,76.81,6.88235E+11,74.53,76.66,0.08,0.12,4.83253E+11,72.94,57078380420,70.74,9.14901E+11,6.5525E+11,527481185,0.11,0.08,72.29,897848322.7,3803.51,13516187,11432603,1053.49,966.82,163.43,4.04,1.15687E+11,35352144200,4262426206,10177370400,0.01,19.29,14239215442,0.71,3984429160,7195601910,3954430980,0.48,9228450930,2770545520,0.1,0.09,0.05,1.95,23.46,74.72,51.87,30.02,42.59,58370.86,36733.25,425494,374292,17097.32,13383.11,51202,145441.26,92143,39510.38,161977,40592.47,49045,65643.51,71117,55602.36
2003,1.17768E+11,77342132070,15755062010,8361784643,0.09,0.11,3760744050,2.11833E+11,25,22.59,0.08,0.1,1.61066E+11,25.87,15833409310,76.76,6.96747E+11,75,77.41,0.09,0.12,5.0542E+11,74.13,61459855120,73.33,9.22277E+11,6.73997E+11,517277406,0.11,0.08,74.19,836242002.4,3717.16,13006233,11226217,1025.26,1005.02,162.81,3.87,1.19866E+11,32527756730,4046623651,11319046040,0.01,21.88,13334799523,0.85,7787312100,7239749630,3151504870,0.39,8264379020,2729915400,0.1,0.08,0.04,2.08,24.71,76.61,56.08,33.03,38.7,56663.53,34914.1,385668,338027,20241.5,15463.19,47641,141393,83399,39752.25,143854,41796.53,46826,59406.6,63974,49262.87
2004,1.34622E+11,85696753040,22914426080,8459621418,0.09,0.11,3108442320,2.34855E+11,25.99,25.28,0.08,0.1,1.85009E+11,27.02,19169501150,79.37,7.50549E+11,74.01,74.72,0.09,0.11,5.57936E+11,72.98,66428374540,75.28,9.98868E+11,7.51593E+11,548973970,0.11,0.08,76.34,861877945.5,3594.69,13756696,11898863,1036.63,1038.55,163.52,4.08,1.36112E+11,31742608510,3691060263,16169718140,0.02,29.45,14260590479,1.13,13354507890,7811575640,3196060850,0.37,8342669320,3034831550,0.1,0.08,0.04,2.29,27.09,84,58.25,36.38,40.94,57138.25,34541.16,376249,330788,19228.07,14516.56,45461,146832.07,82981,40940.4,147170,38178.45,43905,60751.28,56865,56202.99
